client_name,client_tier,monthly_revenue,contract_months,touches_last_30_days,days_since_last_touch,avg_response_time_hours,sentiment_score,channels
Acme SaaS Solutions,platinum,8500,24,9,3,1.5,9.2,email;phone;slack;video
BrightStar Marketing,gold,4200,18,6,5,2.8,8.5,email;phone;slack
Coastal Retail Group,silver,1800,12,2,14,6.5,6.8,email
Delta Professional Services,platinum,12000,36,4,22,8.0,4.2,email;slack
Evergreen Nonprofit,bronze,800,6,1,28,48.0,3.5,email
Fusion Tech Ventures,gold,3500,15,7,4,3.2,8.0,email;phone;slack
GreenLeaf Consulting,silver,2200,9,3,8,5.0,7.5,email;phone
Horizon Health AI,platinum,15000,48,10,1,0.8,9.8,email;phone;slack;video
Ironclad Insurance Group,gold,5600,24,3,18,12.0,5.0,email
Jupiter E-Commerce,silver,1600,6,4,6,4.5,7.8,email;slack
Kairos Media Agency,bronze,1100,3,0,35,72.0,2.0,email
Luna Tech Startups Inc.,gold,3800,12,5,7,3.0,7.2,email;phone
